Title
Name
History
Prehistory and early history
Archaic and Classical period
Hellenistic and Roman periods (323 BC – 4th century AD)
Medieval period (4th – 15th century)
Venetian possessions and Ottoman rule (15th century – 1821)
Modern period
Greek War of Independence (1821–1832)
Kingdom of Greece
"Expansion, disaster, and reconstruction"
"Dictatorship, World War II, and reconstruction"
Military regime (1967–74)
Third Hellenic Republic
Recent history
Geography
Islands
Climate
Biodiversity
Politics
Political parties
Foreign relations
Military
Law and justice
Administrative divisions
Economy
Introduction
Debt crisis (2010–2018)
Agriculture
Energy
Maritime industry
Tourism
Transport
Telecommunications
Science and technology
Demographics
Cities
Religion
Languages
Migration
Education
Healthcare system
Culture
Visual arts
Architecture
Theatre
Literature
Philosophy
Music and dances
Cuisine
Cinema
Sports
Mythology
Public holidays and festivals
See also
Notes
References
Citations
Bibliography
External links
